"","Var1","Var2","Var3","Freq"
"1","-57.5","-52.5","1975",0
"2","-52.5","-52.5","1975",0
"3","-47.5","-52.5","1975",0
"4","-42.5","-52.5","1975",0
"5","-37.5","-52.5","1975",2
"6","-32.5","-52.5","1975",226
"7","-27.5","-52.5","1975",0
"8","-22.5","-52.5","1975",0
"9","-17.5","-52.5","1975",0
"10","-12.5","-52.5","1975",0
"11","-7.5","-52.5","1975",0
"12","-2.5","-52.5","1975",0
"13","2.5","-52.5","1975",0
"14","7.5","-52.5","1975",0
"15","12.5","-52.5","1975",0
"16","-57.5","-47.5","1975",0
"17","-52.5","-47.5","1975",0
"18","-47.5","-47.5","1975",0
"19","-42.5","-47.5","1975",0
"20","-37.5","-47.5","1975",7
"21","-32.5","-47.5","1975",170
"22","-27.5","-47.5","1975",64
"23","-22.5","-47.5","1975",0
"24","-17.5","-47.5","1975",0
"25","-12.5","-47.5","1975",0
"26","-7.5","-47.5","1975",0
"27","-2.5","-47.5","1975",0
"28","2.5","-47.5","1975",0
"29","7.5","-47.5","1975",0
"30","12.5","-47.5","1975",0
"31","-57.5","-42.5","1975",0
"32","-52.5","-42.5","1975",0
"33","-47.5","-42.5","1975",0
"34","-42.5","-42.5","1975",0
"35","-37.5","-42.5","1975",0
"36","-32.5","-42.5","1975",3
"37","-27.5","-42.5","1975",0
"38","-22.5","-42.5","1975",23
"39","-17.5","-42.5","1975",0
"40","-12.5","-42.5","1975",0
"41","-7.5","-42.5","1975",0
"42","-2.5","-42.5","1975",0
"43","2.5","-42.5","1975",0
"44","7.5","-42.5","1975",0
"45","12.5","-42.5","1975",0
"46","-57.5","-37.5","1975",0
"47","-52.5","-37.5","1975",0
"48","-47.5","-37.5","1975",0
"49","-42.5","-37.5","1975",0
"50","-37.5","-37.5","1975",4
"51","-32.5","-37.5","1975",365
"52","-27.5","-37.5","1975",0
"53","-22.5","-37.5","1975",23
"54","-17.5","-37.5","1975",8
"55","-12.5","-37.5","1975",0
"56","-7.5","-37.5","1975",0
"57","-2.5","-37.5","1975",20
"58","2.5","-37.5","1975",0
"59","7.5","-37.5","1975",0
"60","12.5","-37.5","1975",0
"61","-57.5","-32.5","1975",0
"62","-52.5","-32.5","1975",0
"63","-47.5","-32.5","1975",0
"64","-42.5","-32.5","1975",0
"65","-37.5","-32.5","1975",0
"66","-32.5","-32.5","1975",0
"67","-27.5","-32.5","1975",0
"68","-22.5","-32.5","1975",0
"69","-17.5","-32.5","1975",3
"70","-12.5","-32.5","1975",0
"71","-7.5","-32.5","1975",8
"72","-2.5","-32.5","1975",53
"73","2.5","-32.5","1975",1
"74","7.5","-32.5","1975",0
"75","12.5","-32.5","1975",0
"76","-57.5","-27.5","1975",0
"77","-52.5","-27.5","1975",0
"78","-47.5","-27.5","1975",0
"79","-42.5","-27.5","1975",0
"80","-37.5","-27.5","1975",0
"81","-32.5","-27.5","1975",0
"82","-27.5","-27.5","1975",0
"83","-22.5","-27.5","1975",0
"84","-17.5","-27.5","1975",0
"85","-12.5","-27.5","1975",0
"86","-7.5","-27.5","1975",0
"87","-2.5","-27.5","1975",0
"88","2.5","-27.5","1975",0
"89","7.5","-27.5","1975",0
"90","12.5","-27.5","1975",0
"91","-57.5","-22.5","1975",0
"92","-52.5","-22.5","1975",0
"93","-47.5","-22.5","1975",0
"94","-42.5","-22.5","1975",0
"95","-37.5","-22.5","1975",0
"96","-32.5","-22.5","1975",0
"97","-27.5","-22.5","1975",0
"98","-22.5","-22.5","1975",0
"99","-17.5","-22.5","1975",0
"100","-12.5","-22.5","1975",0
"101","-7.5","-22.5","1975",0
"102","-2.5","-22.5","1975",0
"103","2.5","-22.5","1975",0
"104","7.5","-22.5","1975",0
"105","12.5","-22.5","1975",0
"106","-57.5","-17.5","1975",0
"107","-52.5","-17.5","1975",0
"108","-47.5","-17.5","1975",0
"109","-42.5","-17.5","1975",0
"110","-37.5","-17.5","1975",0
"111","-32.5","-17.5","1975",0
"112","-27.5","-17.5","1975",0
"113","-22.5","-17.5","1975",0
"114","-17.5","-17.5","1975",0
"115","-12.5","-17.5","1975",0
"116","-7.5","-17.5","1975",0
"117","-2.5","-17.5","1975",0
"118","2.5","-17.5","1975",0
"119","7.5","-17.5","1975",0
"120","12.5","-17.5","1975",0
"121","-57.5","-12.5","1975",0
"122","-52.5","-12.5","1975",0
"123","-47.5","-12.5","1975",0
"124","-42.5","-12.5","1975",0
"125","-37.5","-12.5","1975",0
"126","-32.5","-12.5","1975",0
"127","-27.5","-12.5","1975",0
"128","-22.5","-12.5","1975",0
"129","-17.5","-12.5","1975",0
"130","-12.5","-12.5","1975",0
"131","-7.5","-12.5","1975",0
"132","-2.5","-12.5","1975",0
"133","2.5","-12.5","1975",0
"134","7.5","-12.5","1975",0
"135","12.5","-12.5","1975",0
"136","-57.5","-7.5","1975",0
"137","-52.5","-7.5","1975",0
"138","-47.5","-7.5","1975",0
"139","-42.5","-7.5","1975",0
"140","-37.5","-7.5","1975",0
"141","-32.5","-7.5","1975",1
"142","-27.5","-7.5","1975",0
"143","-22.5","-7.5","1975",0
"144","-17.5","-7.5","1975",0
"145","-12.5","-7.5","1975",0
"146","-7.5","-7.5","1975",0
"147","-2.5","-7.5","1975",0
"148","2.5","-7.5","1975",0
"149","7.5","-7.5","1975",0
"150","12.5","-7.5","1975",0
"151","-57.5","-2.5","1975",0
"152","-52.5","-2.5","1975",0
"153","-47.5","-2.5","1975",0
"154","-42.5","-2.5","1975",0
"155","-37.5","-2.5","1975",0
"156","-32.5","-2.5","1975",0
"157","-27.5","-2.5","1975",0
"158","-22.5","-2.5","1975",0
"159","-17.5","-2.5","1975",0
"160","-12.5","-2.5","1975",0
"161","-7.5","-2.5","1975",0
"162","-2.5","-2.5","1975",0
"163","2.5","-2.5","1975",0
"164","7.5","-2.5","1975",0
"165","12.5","-2.5","1975",0
"166","-57.5","2.5","1975",0
"167","-52.5","2.5","1975",0
"168","-47.5","2.5","1975",0
"169","-42.5","2.5","1975",0
"170","-37.5","2.5","1975",0
"171","-32.5","2.5","1975",0
"172","-27.5","2.5","1975",0
"173","-22.5","2.5","1975",0
"174","-17.5","2.5","1975",0
"175","-12.5","2.5","1975",0
"176","-7.5","2.5","1975",0
"177","-2.5","2.5","1975",0
"178","2.5","2.5","1975",0
"179","7.5","2.5","1975",0
"180","12.5","2.5","1975",0
"181","-57.5","-52.5","1980",0
"182","-52.5","-52.5","1980",0
"183","-47.5","-52.5","1980",0
"184","-42.5","-52.5","1980",0
"185","-37.5","-52.5","1980",7
"186","-32.5","-52.5","1980",958
"187","-27.5","-52.5","1980",0
