"","yr","qtr","pr"
"1","1998","0.375",2.24349589599024
"2","1999","0.375",1.4641472005834
"3","2000","0.375",1.2680615950713
"4","2001","0.375",1.29921678153922
"5","2002","0.375",1.1943145230241
"6","2003","0.375",1.01852414810911
"7","2004","0.375",1.03053572261028
"8","2005","0.375",1.09053757229477
"9","2006","0.375",1.01568853476581
"10","2007","0.375",0.826798377786484
"11","2008","0.375",1.33891247934613
"12","2009","0.375",0.975321068445491
"13","2010","0.375",0.837436897800927
"14","2011","0.375",0.787217955910842
"15","2012","0.375",0.673165851283369
"16","2013","0.375",0.8787351066767
"17","2014","0.375",0.889688924913468
"18","2015","0.375",0.943598385601834
"19","2016","0.375",0.737398714234288
"20","2017","0.375",0.797185698914424
"21","2018","0.375",0.876846369998733
