"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1998.125,1.51452603913042,0.0435022968119149,1.39074286940924,1.64932653882916,"1998","0.125"
"2",1998.375,1.88208527489552,0.0462360009612759,1.7190258928661,2.06061176662827,"1998","0.375"
"3",1998.625,2.3711198051901,0.05907688649665,2.1118654103766,2.66220049011655,"1998","0.625"
"4",1998.875,1.14008965723907,0.0431732571638617,1.04758479767671,1.24076297157629,"1998","0.875"
"5",1999.125,1.2645234511854,0.043320410183208,1.16158718033401,1.3765816166618,"1999","0.125"
"6",1999.375,1.87767737105112,0.0430491337024649,1.7257457399345,2.0429847967588,"1999","0.375"
"7",1999.625,1.19892758054047,0.0435748276918518,1.10078197329865,1.30582384000454,"1999","0.625"
"8",1999.875,1.29712233274012,0.0406773210756863,1.19772110410979,1.4047730647142,"1999","0.875"
"9",2000.125,0.99101708607053,0.0375929668647089,0.920622029287246,1.06679487742009,"2000","0.125"
"10",2000.375,1.5308085757208,0.0373349892860292,1.42278966564071,1.64702833601556,"2000","0.375"
"11",2000.625,1.24254916215305,0.03804666657522,1.15326099673848,1.33875022630057,"2000","0.625"
"12",2000.875,1.32893050185779,0.0416010929966788,1.22487199239134,1.44182926031323,"2000","0.875"
"13",2001.125,1.0937016382813,0.0346144076101642,1.02196137994876,1.17047796232688,"2001","0.125"
"14",2001.375,1.50872827274529,0.0352162949977158,1.40810264210166,1.61654479788742,"2001","0.375"
"15",2001.625,1.34152063137167,0.0410904630433643,1.23771441182162,1.45403300406526,"2001","0.625"
"16",2001.875,0.871375138585567,0.0398098461642486,0.805969003335515,0.942089123778537,"2001","0.875"
"17",2002.125,0.931401179623228,0.0357373562651222,0.868393435588788,0.998980556336602,"2002","0.125"
"18",2002.375,1.09989106713908,0.0449083075575956,1.0072167785468,1.20109234212497,"2002","0.375"
"19",2002.625,2.49031997300824,0.0503483581825247,2.25630478309227,2.7486063117166,"2002","0.625"
"20",2002.875,0.69568717035609,0.0511916010954894,0.629272602595057,0.769111251629542,"2002","0.875"
"21",2003.125,0.769573438915782,0.0577737152442186,0.6871824995505,0.861842783062813,"2003","0.125"
"22",2003.375,0.796280265455853,0.0468057629930194,0.726480702730091,0.872786102606248,"2003","0.375"
"23",2003.625,1.02902493191148,0.0476249542000588,0.937317483450144,1.12970506705773,"2003","0.625"
"24",2003.875,0.576115048533125,0.0494653381969858,0.522881737371088,0.634767912941602,"2003","0.875"
"25",2004.125,0.81041599278712,0.0647454478943081,0.71383126387341,0.920069089999405,"2004","0.125"
"26",2004.375,0.734497840657965,0.0479626270037398,0.668596210931544,0.806895206868665,"2004","0.375"
"27",2004.625,0.721329814342624,0.0439407064247283,0.661806149972814,0.786207110769426,"2004","0.625"
"28",2004.875,1.26304459447271,0.0522061992020273,1.14019693864102,1.39912816248053,"2004","0.875"
"29",2005.125,0.989754508579619,0.0514090187720053,0.894885041213835,1.09468137485561,"2005","0.125"
"30",2005.375,0.743132882437926,0.0466673172281875,0.678176062050949,0.814311374085351,"2005","0.375"
"31",2005.625,0.780774445093595,0.0556840948812594,0.700045602579656,0.870812889710061,"2005","0.625"
