"","yr","qtr","pr"
"1","1998","0.375",1.79221972327666
"2","1999","0.375",1.47482721304216
"3","2000","0.375",1.33859086061343
"4","2001","0.375",1.26909594940884
"5","2002","0.375",1.36958937669454
"6","2003","0.375",0.858012950366943
"7","2004","0.375",0.947586589727992
"8","2005","0.375",0.940925946161745
"9","2006","0.375",0.881342242457885
"10","2007","0.375",0.845445082677921
"11","2008","0.375",1.57729697721302
"12","2009","0.375",0.873861023099613
"13","2010","0.375",0.773267577779688
"14","2011","0.375",0.785134444042954
"15","2012","0.375",0.856225278682689
"16","2013","0.375",0.904654730354447
"17","2014","0.375",0.930569456858845
"18","2015","0.375",1.05430237229451
"19","2016","0.375",0.844655378711018
"20","2017","0.375",0.880867702530249
"21","2018","0.375",0.955030131794066
