"","yr","qtr","pr"
"1","1998","0.375",1.95958339743527
"2","1999","0.375",1.15924719861333
"3","2000","0.375",1.21500744779458
"4","2001","0.375",1.292454340643
"5","2002","0.375",1.09966805734817
"6","2003","0.375",0.808052674366656
"7","2004","0.375",0.824434564249563
"8","2005","0.375",1.20387441515672
"9","2006","0.375",1.01175965689594
"10","2007","0.375",0.922474994346097
"11","2008","0.375",1.0537541445954
"12","2009","0.375",0.899756703382493
"13","2010","0.375",0.957903980785813
"14","2011","0.375",1.09954091875284
"15","2012","0.375",0.788408726558939
"16","2013","0.375",1.07521546447142
"17","2014","0.375",1.07341399146348
"18","2015","0.375",1.05894344669846
"19","2016","0.375",1.02394740237832
"20","2017","0.375",0.83924036348462
"21","2018","0.375",1.0019876748405
