"","yr","qtr","pr"
"1","1998","0.375",1.66194431726424
"2","1999","0.375",1.31977294483501
"3","2000","0.375",1.54666813633085
"4","2001","0.375",1.43560228043565
"5","2002","0.375",1.22930712327178
"6","2003","0.375",0.928556940594224
"7","2004","0.375",1.00353397720873
"8","2005","0.375",1.2922965640611
"9","2006","0.375",0.997534252678432
"10","2007","0.375",0.920346398855202
"11","2008","0.375",1.00161697540631
"12","2009","0.375",0.853958231298685
"13","2010","0.375",0.946702321780256
"14","2011","0.375",1.15707666449756
"15","2012","0.375",0.939942732313808
"16","2013","0.375",0.858061099494758
"17","2014","0.375",0.973439138703981
"18","2015","0.375",0.967711291173998
"19","2016","0.375",0.984636225791597
"20","2017","0.375",0.753430772097093
"21","2018","0.375",0.996963801296769
