"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1998.125,1.71204182939009,0.0780263482961032,1.46925440967405,1.99494873473385,"1998","0.125"
"2",1998.375,1.30789957858281,0.0847581153701589,1.10771193623811,1.54426548247413,"1998","0.375"
"3",1998.625,1.59258796401846,0.112559187988265,1.27729471179407,1.985709640631,"1998","0.625"
"4",1998.875,1.66329796221506,0.0690389381756759,1.45279027786388,1.9043079742911,"1998","0.875"
"5",1999.125,2.90009432313757,0.0674643077917659,2.54088696377494,3.31008313356821,"1999","0.125"
"6",1999.375,2.81055366943072,0.0723303972037323,2.43906293083677,3.23862571518009,"1999","0.375"
"7",1999.625,1.33142783413266,0.0653733345414186,1.17130696584036,1.51343766339795,"1999","0.625"
"8",1999.875,1.86032710717148,0.0631181182830011,1.64384962668741,2.10531236525024,"1999","0.875"
"9",2000.125,1.14557394238393,0.0573694917516696,1.02373895494681,1.28190848958878,"2000","0.125"
"10",2000.375,1.80491460317575,0.0613241739778108,1.60050290968183,2.03543317856554,"2000","0.375"
"11",2000.625,2.3791559623848,0.0586027629617969,2.12099299253187,2.66874200588199,"2000","0.625"
"12",2000.875,2.33075453051388,0.0660530314515791,2.04772230833084,2.65290691975666,"2000","0.875"
"13",2001.125,0.771440149478742,0.053555131254379,0.694568670356416,0.856819389683097,"2001","0.125"
"14",2001.375,0.869154576436463,0.0653826362537461,0.764613915579173,0.987988398260097,"2001","0.375"
"15",2001.625,0.945785031189853,0.0660762051571031,0.830897084122037,1.07655850804672,"2001","0.625"
"16",2001.875,0.727316828750873,0.0676116929902695,0.637046892394375,0.830378070593816,"2001","0.875"
"17",2002.125,0.720772715445256,0.0591838974852852,0.641829962923752,0.809425139586456,"2002","0.125"
"18",2002.375,0.68470379098088,0.0694070243521241,0.597616088365365,0.784482363361286,"2002","0.375"
"19",2002.625,1.1732469409311,0.110290838655141,0.945165744916861,1.45636719465035,"2002","0.625"
"20",2002.875,1.47519830987034,0.0989223126772445,1.2151951671318,1.79083172177254,"2002","0.875"
"21",2003.125,1.34351197251117,0.128851327004168,1.04366489855392,1.72950572811431,"2003","0.125"
"22",2003.375,0.617916207693774,0.0789309960442843,0.529349084740258,0.721301785036631,"2003","0.375"
"23",2003.625,0.678824741790751,0.0791135820388961,0.581319407896998,0.7926847509432,"2003","0.625"
"24",2003.875,1.12959412322276,0.074268197994876,0.976571527152311,1.30659439451422,"2003","0.875"
"25",2004.125,0.628041705579508,0.0728168591278503,0.544509576836246,0.724388331678212,"2004","0.125"
"26",2004.375,0.783679666201008,0.0602971272124788,0.696326025771789,0.881991763177619,"2004","0.375"
"27",2004.625,0.912892101060424,0.0597326844948418,0.812033529132663,1.02627780538649,"2004","0.625"
"28",2004.875,1.03899729117448,0.0710760124083206,0.903885234755337,1.19430579188531,"2004","0.875"
"29",2005.125,1.00748653080704,0.0691747959273916,0.879744324386913,1.15377738920337,"2005","0.125"
"30",2005.375,1.01192384540442,0.0624502509954738,0.895342300206936,1.14368534655562,"2005","0.375"
"31",2005.625,0.742524248880689,0.078254288472944,0.636941059581578,0.865609544057377,"2005","0.625"
"32",2005.875,0.78747259243921,0.0608133911327319,0.69898852110813,0.887157750258678,"2005","0.875"
"33",2006.125,0.507050429355322,0.0568493053701847,0.453586425719488,0.566816208182596,"2006","0.125"
"34",2006.375,0.694094156688903,0.0722955354030498,0.602391986862752,0.799756153561592,"2006","0.375"
"35",2006.625,0.773209672397538,0.066840244236554,0.678268602333441,0.881440177876904,"2006","0.625"
"36",2006.875,0.98383881097616,0.0705417474762911,0.856796341011956,1.12971865033849,"2006","0.875"
"37",2007.125,0.733604587805421,0.0636067250019502,0.647617985357815,0.83100794514194,"2007","0.125"
"38",2007.375,0.62298598586051,0.0625452722294691,0.551110476218255,0.704235457910055,"2007","0.375"
"39",2007.625,0.730718563658011,0.0581780165369992,0.651970601619339,0.818978061201261,"2007","0.625"
"40",2007.875,0.745330602429119,0.0601491486869665,0.662443684798671,0.83858857690852,"2007","0.875"
"41",2008.125,0.681321942348845,0.0710524672260856,0.592749634356944,0.783129271145986,"2008","0.125"
"42",2008.375,0.705040830168336,0.0750192750495992,0.608634508420319,0.816717693997682,"2008","0.375"
"NA",2008.625,NA,NA,NA,NA,"2008","0.625"
"NA.1",2008.875,NA,NA,NA,NA,"2008","0.875"
"43",2009.125,0.945432281732805,0.0599789967689029,0.84057268737309,1.0633728799063,"2009","0.125"
"44",2009.375,0.974785771570133,0.0666992225346776,0.855329905774549,1.11092491217773,"2009","0.375"
"45",2009.625,0.656427674478701,0.0954871544534237,0.544385533207855,0.791529652307993,"2009","0.625"
"NA.2",2009.875,NA,NA,NA,NA,"2009","0.875"
"46",2010.125,0.675847661799971,0.0603339474560432,0.600470287842871,0.760687200030145,"2010","0.125"
"47",2010.375,0.888821770325883,0.057430221164994,0.794198554486577,0.99471868205042,"2010","0.375"
"48",2010.625,1.00194646327472,0.0669196464887721,0.878782426569019,1.14237231528192,"2010","0.625"
"NA.3",2010.875,NA,NA,NA,NA,"2010","0.875"
"49",2011.125,0.704218115788296,0.0656908605836389,0.619141626257514,0.800984998540791,"2011","0.125"
"50",2011.375,0.653576559752479,0.0640639382519434,0.576453317455152,0.74101806082696,"2011","0.375"
"51",2011.625,0.571434157514092,0.0776840841174609,0.490727243773772,0.665414444616358,"2011","0.625"
"NA.4",2011.875,NA,NA,NA,NA,"2011","0.875"
"52",2012.125,0.683034047328383,0.0677283657924471,0.598123414279088,0.779998740514284,"2012","0.125"
"53",2012.375,0.776588213415112,0.062370324298005,0.687226824499433,0.877569430812829,"2012","0.375"
"54",2012.625,0.706708781122581,0.0777109024315739,0.606864358745833,0.822980117580011,"2012","0.625"
"55",2012.875,0.921756534405393,0.0958464409083453,0.763888703141702,1.11224986732319,"2012","0.875"
"56",2013.125,1.13285935414453,0.100775318143988,0.929810213638577,1.38024975145264,"2013","0.125"
"57",2013.375,0.922112047655602,0.0961260803703595,0.763764599146346,1.11328887118095,"2013","0.375"
"58",2013.625,0.830196040956717,0.0965673774327428,0.687038139749939,1.00318370486836,"2013","0.625"
"59",2013.875,0.890570890925297,0.113541617100126,0.712885727829826,1.11254368098782,"2013","0.875"
"60",2014.125,1.05678714902128,0.0824113785947791,0.899161165895762,1.24204549828835,"2014","0.125"
"61",2014.375,0.922874060249128,0.0731304378820851,0.799636397195062,1.0651047576977,"2014","0.375"
"62",2014.625,0.738520162617829,0.0827082919264024,0.627999990628847,0.868490507534748,"2014","0.625"
"63",2014.875,0.790640361987119,0.0628615545747502,0.698988685174566,0.894309443431128,"2014","0.875"
"64",2015.125,0.825353217172002,0.0794387665072702,0.706350416056365,0.964405085084308,"2015","0.125"
"65",2015.375,0.974500548879615,0.0826293056133515,0.828794009191994,1.14582309866417,"2015","0.375"
"66",2015.625,0.722748569549909,0.090626205027032,0.605124389795147,0.863236556971826,"2015","0.625"
"67",2015.875,1.32822614023432,0.109214141273115,1.07227719428617,1.64526923542023,"2015","0.875"
"NA.5",2016.125,NA,NA,NA,NA,"2016","0.125"
"68",2016.375,0.760832881066417,0.0686280283796178,0.665076980256576,0.870375445393565,"2016","0.375"
"69",2016.625,0.608111757883784,0.0606446115540757,0.539960095031346,0.684865258524407,"2016","0.625"
"70",2016.875,0.767158906501361,0.0870994048382919,0.646762485390651,0.909967416352054,"2016","0.875"
"71",2017.125,0.840295853110983,0.123673571495674,0.659415499473259,1.07079242347131,"2017","0.125"
"72",2017.375,0.674244320321221,0.122375569147311,0.530455686375841,0.857009200130104,"2017","0.375"
"73",2017.625,0.777238028725607,0.0918728783785716,0.649157783551248,0.930588785352794,"2017","0.625"
"74",2017.875,0.664233863801191,0.0840751090186323,0.563319565106131,0.783226170632179,"2017","0.875"
"75",2018.125,0.897401696670862,0.0633389683985012,0.792632121062626,1.01601964365019,"2018","0.125"
"76",2018.375,0.959067838368023,0.0605120420104149,0.851805495154006,1.07983703301375,"2018","0.375"
"77",2018.625,0.807869647028662,0.0605293772402449,0.717492961751895,0.909630339782898,"2018","0.625"
"78",2018.875,0.881270372545883,0.0657830492787775,0.774664238672814,1.00254720788161,"2018","0.875"
