"","yr","qtr","pr"
"1","1998","0.375",1.55538817368002
"2","1999","0.375",2.21203207359652
"3","2000","0.375",1.90153109974301
"4","2001","0.375",0.814855486592396
"5","2002","0.375",0.999911779435311
"6","2003","0.375",0.928893101433029
"7","2004","0.375",0.827334031132267
"8","2005","0.375",0.873783144511253
"9","2006","0.375",0.725979607482896
"10","2007","0.375",0.694591275066678
"11","2008","0.375",0.688456601052491
"12","2009","0.375",0.873236052082775
"13","2010","0.375",0.86989277462242
"14","2011","0.375",0.657430420507185
"15","2012","0.375",0.758453234196281
"16","2013","0.375",0.930365923548951
"17","2014","0.375",0.863636773597253
"18","2015","0.375",0.949138459087374
"19","2016","0.375",0.697092825459138
"20","2017","0.375",0.725434356618164
"21","2018","0.375",0.872833728781771
