"","yr","qtr","pr"
"1","1998","0.375",1.31039309712332
"2","1999","0.375",1.2281189598508
"3","2000","0.375",1.60335927828717
"4","2001","0.375",0.865402858411008
"5","2002","0.375",0.700083014479425
"6","2003","0.375",0.583937950379567
"7","2004","0.375",0.776260168044251
"8","2005","0.375",1.13904923602787
"9","2006","0.375",0.814419896026129
"10","2007","0.375",0.913236207062812
"11","2008","0.375",0.969947776233663
"12","2009","0.375",0.913638834371708
"13","2010","0.375",1.07376740781158
"14","2011","0.375",0.88134318215467
"15","2012","0.375",0.904478135503531
"16","2013","0.375",1.41863111997775
"17","2014","0.375",1.13656429670911
"18","2015","0.375",0.955049502515055
"19","2016","0.375",0.886117692014184
"20","2017","0.375",0.840645420280174
"21","2018","0.375",0.942420292920265
