"","yr","qtr","pr"
"1","1998","0.375",1.82241514415732
"2","1999","0.375",1.10532823042988
"3","2000","0.375",1.33831784088247
"4","2001","0.375",1.52020316297816
"5","2002","0.375",1.22643118463811
"6","2003","0.375",0.950182237383992
"7","2004","0.375",0.778990937318405
"8","2005","0.375",1.02144627820592
"9","2006","0.375",1.08978665438533
"10","2007","0.375",1.06478950506398
"11","2008","0.375",2.20365085894174
"12","2009","0.375",0.947597945477423
"13","2010","0.375",0.576322908720229
"14","2011","0.375",0.910533123797936
"15","2012","0.375",0.984877449105373
"16","2013","0.375",1.0490999775535
"17","2014","0.375",1.03969551933053
"18","2015","0.375",0.68140849207305
"19","2016","0.375",0.842540631297205
"20","2017","0.375",0.909776909308284
"21","2018","0.375",0.897772592274281
