"","yq","pr","cv","ll","ul","yr","qtr"
"1",1998.125,1.49425529900414,0.0557063511731014,1.33969705049199,1.66664463266675,"1998","0.125"
"2",1998.375,2.6371677686211,0.0541578668939495,2.37157930645952,2.93249895582722,"1998","0.375"
"3",1998.625,3.31771984241151,0.0672409958449222,2.9080576981869,3.785091664307,"1998","0.625"
"4",1998.875,1.06019297177663,0.0559215156177427,0.950131170023597,1.18300417128369,"1998","0.875"
"5",1999.125,0.927839883772279,0.056432057858494,0.830686398739152,1.03635601982318,"1999","0.125"
"6",1999.375,1.02989789411176,0.0534577631308393,0.927448927840894,1.14366369991405,"1999","0.375"
"7",1999.625,0.814422146118615,0.0558357173705031,0.729997297843641,0.908610804516321,"1999","0.625"
"8",1999.875,0.809279487515563,0.0560069970073693,0.725144261244319,0.903176545573997,"1999","0.875"
"9",2000.125,0.863412682709964,0.0508754994796281,0.781470024919502,0.953947607576129,"2000","0.125"
"10",2000.375,1.22342006966887,0.0530385651202674,1.10262608530233,1.35744717708014,"2000","0.375"
"11",2000.625,0.942987143854813,0.0494072310505845,0.855952151193989,1.03887203535274,"2000","0.625"
"12",2000.875,1.32193640933541,0.0563553664947757,1.18369525822662,1.47632243872015,"2000","0.875"
"13",2001.125,1.29964315759538,0.0485095699965115,1.18176723564845,1.42927666813988,"2001","0.125"
"14",2001.375,1.80862531314791,0.0467447249437698,1.65028400992361,1.98215913363348,"2001","0.375"
"15",2001.625,1.67320001763332,0.0508111361466643,1.51459510266929,1.84841367443629,"2001","0.625"
"16",2001.875,0.762897018063833,0.0513476780715867,0.689855119208683,0.843672597281442,"2001","0.875"
"17",2002.125,0.845178284225379,0.0498009752127282,0.766578940244926,0.931836624546357,"2002","0.125"
"18",2002.375,1.31745459353494,0.048102245235521,1.19891998143708,1.44770846503521,"2002","0.375"
"19",2002.625,1.95498268371338,0.0525358166254304,1.7636951679668,2.16701693299139,"2002","0.625"
"20",2002.875,0.744869268317242,0.0510524844146553,0.673943213745561,0.823259609366633,"2002","0.875"
"21",2003.125,0.563180159462485,0.0526125678670402,0.50799872766393,0.624355681894575,"2003","0.125"
"22",2003.375,1.18585020832328,0.0552778437532499,1.06408515322817,1.32154904362135,"2003","0.375"
"23",2003.625,1.43674946416844,0.0541883055431913,1.2919777277058,1.59774350480008,"2003","0.625"
"24",2003.875,0.411589274161154,0.049658435680354,0.373416870477312,0.453663837919176,"2003","0.875"
"25",2004.125,0.527881660159549,0.0545428775791353,0.474360741400743,0.587441208372235,"2004","0.125"
"26",2004.375,0.879739504304928,0.0625571641156618,0.778223535923762,0.994497801349583,"2004","0.375"
"27",2004.625,0.592172152155949,0.0759672716852624,0.510250375533038,0.687246643224278,"2004","0.625"
"28",2004.875,0.598066305917887,0.0677891726659319,0.523655931218639,0.683050233847016,"2004","0.875"
"29",2005.125,1.01922955090317,0.0682080407508746,0.891686415588356,1.16501592855245,"2005","0.125"
"30",2005.375,1.05389419568041,0.0832529552590844,0.895221835225648,1.24069021999325,"2005","0.375"
"31",2005.625,0.986437411324594,0.0747211369578859,0.852051055923786,1.14201931879045,"2005","0.625"
"32",2005.875,0.990036523488081,0.061120945133574,0.878261848772514,1.11603654332735,"2005","0.875"
"33",2006.125,0.902801121030099,0.051276039484885,0.816479046321238,0.998249578853893,"2006","0.125"
"34",2006.375,1.3323478336942,0.0657872644164735,1.17116576861265,1.51571263225399,"2006","0.375"
