"","yr","qtr","pr"
"1","1998","0.375",1.8373776129015
"2","1999","0.375",1.1171406381455
"3","2000","0.375",1.52222559124105
"4","2001","0.375",1.71873257474372
"5","2002","0.375",1.405990895202
"6","2003","0.375",1.1745945503142
"7","2004","0.375",0.805680485936845
"8","2005","0.375",1.22244316581053
"9","2006","0.375",1.04299356288329
"10","2007","0.375",1.01715072750684
"11","2008","0.375",1.34509846175183
"12","2009","0.375",0.856895743854797
"13","2010","0.375",0.544477998876363
"14","2011","0.375",1.2135154560665
"15","2012","0.375",0.924477175299331
"16","2013","0.375",0.763067087510448
"17","2014","0.375",1.00198628418941
"18","2015","0.375",0.739591600576731
"19","2016","0.375",0.969446421338073
"20","2017","0.375",0.81996600369636
"21","2018","0.375",0.975123422810074
