"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.226263142077307,0.449424559657936,0.0912794986451154,0.121137806517969,0.0110520888768134,0.0071357992553617,0.0814982227922059,0.0109325324926646,0.00127634968462741,"kcltrp"
"2",2,0.0158677320687519,0.0553709170744749,0.0157798970810695,0.267614557630134,0.00161907171652944,0.00188893799039018,0.629909863033423,0.00519517872042631,0.00675384468480091,"kcltrp"
"3",3,0.0870946125596836,0.135549265110566,0.45892715192541,0.182701298898756,0.016027867700725,0.015185943089863,0.0860678895113062,0.0163924438572181,0.00205352734647182,"kcltrp"
"4",4,0.0399512029475812,0.0730377656870892,0.0486027318077944,0.562464847689943,0.01693458968874,0.0175845274191434,0.20057556580558,0.0252822921434956,0.0155664768106333,"kcltrp"
"5",1,0.0558133599263409,0.655097930524143,0.077251930640751,0.105048715373556,0.0128988982112044,0.00711712156122324,0.0727995325674171,0.0137213096018555,0.000251201593508043,"clrtrp"
"6",2,0.236098897941582,0.163460285965475,0.308012512561843,0.165060043833474,0.0150721013509384,0.0136179126499485,0.0804215898329652,0.0158199106781192,0.00243674518565442,"clrtrp"
"7",3,0.0232937871253354,0.0596454418918582,0.0167862433465934,0.254533614407522,0.00346121258024042,0.00284982691894059,0.62005797146414,0.00932955796929549,0.0100423442960748,"clrtrp"
"8",4,0.0368059076972003,0.0713594424237118,0.042373417532731,0.576619888415425,0.013278521374268,0.0150850103762515,0.2145553806609,0.0182231971274938,0.0116992343920186,"clrtrp"
"9",1,0.044375126915466,0.584215161407434,0.12573897312245,0.131086600398951,0.017441822035733,0.00914631969031488,0.0742384768329536,0.0135093322861637,0.000248187310533106,"hcltrp"
"10",2,0.288025402813242,0.12544579723471,0.281865579714699,0.170861206244858,0.00832398814073735,0.00980907721592823,0.105314209552193,0.00930593689943649,0.00104880218419649,"hcltrp"
"11",3,0.0125967103689277,0.0577844214756305,0.0119688003646882,0.290725136498077,0.00112691641685144,0.00138699477214229,0.618584822786299,0.00406699885461411,0.00175919846277061,"hcltrp"
"12",4,0.0350363907241997,0.0764075359296185,0.056722658304611,0.524751997583819,0.0175431173950875,0.0182484041210522,0.221450255829537,0.0279487663616843,0.0218908737503915,"hcltrp"
"13",1,0.175972834535941,0.574144720880622,0.132210817637339,0.0430639711647024,0.0306399800413803,0.0127388452546344,0.0258815621568074,0.00503326963551556,0.000313998693058422,"kclset"
"14",2,0.00515215010917787,0.0309747994087963,0.0093785081268555,0.0920434068669994,0.000236839521124693,0.000251486841340089,0.859362240979085,0.00135515869661978,0.00124540945000102,"kclset"
"15",3,0.0719471950827181,0.119629429846413,0.0972159166614781,0.359391193068035,0.00855419245491222,0.00970761104055132,0.309459416061633,0.0151996775671824,0.00889536821707675,"kclset"
"16",4,0,0,0,0,0,0,0.265933910407966,0.734066089592034,0,"kclset"
"17",1,0.0124864376929275,0.036897258117505,0.010533681270214,0.188041088453469,0.00295561135176737,0.00307369678573076,0.731122406106287,0.00700053162218986,0.00788928859991039,"FT"
"18",2,0.1286335801291,0.0596553380058755,0.0309450297417376,0.581030981439256,0.0158028739943047,0.015102200273084,0.136913850050762,0.0205656453498056,0.0113505010160738,"FT"
"19",3,0.0763501938969783,0.726965500358913,0.0576682888555743,0.0639336444764629,0.0101381803031555,0.00490469657717317,0.0468034632603621,0.0119384957252045,0.00129753654617641,"FT"
"20",4,0.0967548071771445,0.069494451919119,0.652113805406962,0.0991324331197896,0.0116767246680185,0.0152582534497069,0.038058179168893,0.0145434489368145,0.00296789615355222,"FT"
"21",1,0.772189562780671,0.121814707202353,0.0414696873465,0.0310187195215974,0.000959536493074313,0.0102466766384894,0.0202455472268073,0.00101888320663139,0.00103667958387623,"clrset"
"22",2,0.082010302172798,0.095076216911207,0.11951366224484,0.259430810911113,0.0113166940309091,0.00903966974912789,0.396960914638474,0.0170633895227278,0.00958833981880202,"clrset"
"23",3,0.0563571371006729,0.794638246557896,0.0647802537046301,0.033013873278199,0.00737594787290639,0.00319129052957118,0.0341787709475006,0.00605001648287415,0.000414463525750004,"clrset"
"24",4,0.0268568400409957,0.0666177791988345,0.0417741468036479,0.636998294362911,0.00857841584146053,0.0136882292393416,0.190582912982538,0.0092146046301742,0.00568877690009671,"clrset"
